avif_file,yuv_file,status,avif_size,yuv_size,error
D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1271395,933120000,
D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4418967,933120000,
D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3631388,414720000,
D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1006471,414720000,
D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1917343,414720000,
D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4178324,466560000,
D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,780982,466560000,
D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2930090,466560000,
D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6584211,933120000,
D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1282438,933120000,
D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4445779,933120000,
D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,OK,3799165,414720000,
D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,OK,1161533,414720000,
D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\without_D45\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,OK,2219120,414720000,
D:\碩士實驗\testdata\without_D45\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3619058,414720000,
D:\碩士實驗\testdata\without_D45\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1004948,414720000,
D:\碩士實驗\testdata\without_D45\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\without_D45\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1931655,414720000,
D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.yuv,OK,3610473,414720000,
D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.yuv,OK,1026884,414720000,
D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\without_D45\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.yuv,OK,1970866,414720000,
D:\碩士實驗\testdata\without_D45\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\without_D45\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4179328,466560000,
