path,embedded_bits,extracted_bits,different_bits,ber,exact_match,first_mismatch
ori_video\KristenAndSara_720p_60_High,0,0,0,0.00000000,YES,
ori_video\KristenAndSara_720p_60_Low,0,0,0,0.00000000,YES,
ori_video\KristenAndSara_720p_60_Middle,0,0,0,0.00000000,YES,
ori_video\speed_bag_1080p_30_High,0,0,0,0.00000000,YES,
ori_video\speed_bag_1080p_30_Low,0,0,0,0.00000000,YES,
ori_video\speed_bag_1080p_30_Middle,0,0,0,0.00000000,YES,
StegAV1\1024\Fallout4_1080p_60_High,8216,8216,0,0.00000000,YES,
StegAV1\1024\Fallout4_1080p_60_Low,8216,8216,0,0.00000000,YES,
StegAV1\1024\Fallout4_1080p_60_Middle,8216,8216,0,0.00000000,YES,
StegAV1\1024\Johnny_720p_60_High,8216,8216,0,0.00000000,YES,
StegAV1\1024\Johnny_720p_60_Low,6716,6716,0,0.00000000,YES,
StegAV1\1024\Johnny_720p_60_Middle,8216,8216,0,0.00000000,YES,
StegAV1\1024\speed_bag_1080p_30_High,6597,6597,0,0.00000000,YES,
StegAV1\1024\speed_bag_1080p_30_Low,4422,4422,0,0.00000000,YES,
StegAV1\1024\speed_bag_1080p_30_Middle,6597,6597,0,0.00000000,YES,
StegAV1\256\Fallout4_1080p_60_High,2072,2072,0,0.00000000,YES,
StegAV1\256\Fallout4_1080p_60_Low,2072,2072,0,0.00000000,YES,
StegAV1\256\Fallout4_1080p_60_Middle,2072,2072,0,0.00000000,YES,
StegAV1\256\Johnny_720p_60_High,2072,2072,0,0.00000000,YES,
StegAV1\256\Johnny_720p_60_Low,2072,2072,0,0.00000000,YES,
StegAV1\256\Johnny_720p_60_Middle,2072,2072,0,0.00000000,YES,
StegAV1\256\speed_bag_1080p_30_High,2072,2072,0,0.00000000,YES,
StegAV1\256\speed_bag_1080p_30_Low,2072,2072,0,0.00000000,YES,
StegAV1\256\speed_bag_1080p_30_Middle,2072,2072,0,0.00000000,YES,
StegAV1\512\Fallout4_1080p_60_High,4120,4120,0,0.00000000,YES,
StegAV1\512\Fallout4_1080p_60_Low,4120,4120,0,0.00000000,YES,
StegAV1\512\Fallout4_1080p_60_Middle,4120,4120,0,0.00000000,YES,
StegAV1\512\Johnny_720p_60_High,4120,4120,0,0.00000000,YES,
StegAV1\512\Johnny_720p_60_Low,4120,4120,0,0.00000000,YES,
StegAV1\512\Johnny_720p_60_Middle,4120,4120,0,0.00000000,YES,
StegAV1\512\speed_bag_1080p_30_High,4120,4120,0,0.00000000,YES,
StegAV1\512\speed_bag_1080p_30_Low,4120,4120,0,0.00000000,YES,
StegAV1\512\speed_bag_1080p_30_Middle,4120,4120,0,0.00000000,YES,
without_D45\Fallout4_1080p_60_High,51048,51048,0,0.00000000,YES,
without_D45\Fallout4_1080p_60_Low,30022,30022,0,0.00000000,YES,
without_D45\Fallout4_1080p_60_Middle,47304,47304,0,0.00000000,YES,
without_D45\FourPeople_720p_60_High,26873,26873,0,0.00000000,YES,
without_D45\FourPeople_720p_60_Low,22680,22680,0,0.00000000,YES,
without_D45\FourPeople_720p_60_Middle,25339,25339,0,0.00000000,YES,
without_D45\Johnny_720p_60_High,19515,19515,0,0.00000000,YES,
without_D45\Johnny_720p_60_Low,12876,12876,0,0.00000000,YES,
without_D45\Johnny_720p_60_Middle,15853,15853,0,0.00000000,YES,
without_D45\KristenAndSara_720p_60_High,21652,21652,0,0.00000000,YES,
without_D45\KristenAndSara_720p_60_Low,16331,16331,0,0.00000000,YES,
without_D45\KristenAndSara_720p_60_Middle,19676,19676,0,0.00000000,YES,
without_D45\speed_bag_1080p_30_High,12888,12888,0,0.00000000,YES,
without_D45\speed_bag_1080p_30_Low,8555,8555,0,0.00000000,YES,
without_D45\speed_bag_1080p_30_Middle,12888,12888,0,0.00000000,YES,
