Using AOMedia Project AV1 Decoder v3.11.0
[ANGLE_READ] sym 0, injected 0, total_bits 131, payload_bits 131, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 132, payload_bits 132, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 133, payload_bits 133, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 134, payload_bits 134, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 135, payload_bits 135, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 136, payload_bits 136, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 137, payload_bits 137, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 138, payload_bits 138, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 139, payload_bits 139, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 140, payload_bits 140, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 141, payload_bits 141, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 142, payload_bits 142, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 143, payload_bits 143, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 144, payload_bits 144, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 145, payload_bits 145, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 146, payload_bits 146, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 147, payload_bits 147, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 148, payload_bits 148, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 149, payload_bits 149, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 150, payload_bits 150, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 151, payload_bits 151, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 152, payload_bits 152, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 153, payload_bits 153, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 154, payload_bits 154, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 155, payload_bits 155, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 156, payload_bits 156, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 157, payload_bits 157, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 158, payload_bits 158, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 159, payload_bits 159, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 160, payload_bits 160, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 161, payload_bits 161, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 162, payload_bits 162, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 163, payload_bits 163, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 164, payload_bits 164, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 165, payload_bits 165, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 166, payload_bits 166, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 167, payload_bits 167, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 168, payload_bits 168, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 169, payload_bits 169, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 170, payload_bits 170, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 171, payload_bits 171, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 172, payload_bits 172, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 173, payload_bits 173, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 174, payload_bits 174, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 175, payload_bits 175, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 176, payload_bits 176, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 177, payload_bits 177, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 178, payload_bits 178, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 179, payload_bits 179, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 180, payload_bits 180, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 181, payload_bits 181, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 182, payload_bits 182, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 183, payload_bits 183, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 184, payload_bits 184, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 185, payload_bits 185, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 186, payload_bits 186, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 187, payload_bits 187, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 188, payload_bits 188, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 189, payload_bits 189, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 190, payload_bits 190, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 191, payload_bits 191, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 192, payload_bits 192, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 193, payload_bits 193, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 194, payload_bits 194, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 195, payload_bits 195, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 196, payload_bits 196, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 197, payload_bits 197, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 198, payload_bits 198, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 199, payload_bits 199, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 200, payload_bits 200, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 201, payload_bits 201, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 202, payload_bits 202, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 203, payload_bits 203, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 204, payload_bits 204, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 205, payload_bits 205, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 206, payload_bits 206, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 207, payload_bits 207, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 208, payload_bits 208, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 209, payload_bits 209, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 210, payload_bits 210, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 211, payload_bits 211, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 212, payload_bits 212, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 213, payload_bits 213, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 214, payload_bits 214, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 215, payload_bits 215, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 216, payload_bits 216, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 217, payload_bits 217, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 218, payload_bits 218, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 219, payload_bits 219, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 220, payload_bits 220, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 221, payload_bits 221, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 222, payload_bits 222, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 223, payload_bits 223, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 224, payload_bits 224, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 225, payload_bits 225, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 226, payload_bits 226, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 227, payload_bits 227, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 228, payload_bits 228, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 229, payload_bits 229, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 230, payload_bits 230, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 231, payload_bits 231, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 232, payload_bits 232, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 233, payload_bits 233, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 234, payload_bits 234, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 235, payload_bits 235, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 236, payload_bits 236, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 237, payload_bits 237, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 238, payload_bits 238, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 239, payload_bits 239, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 240, payload_bits 240, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 241, payload_bits 241, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 242, payload_bits 242, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 243, payload_bits 243, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 244, payload_bits 244, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 245, payload_bits 245, keyword_buffer 200220, end_found 0
