Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   2566, rd_minus:   3872, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 117 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5176, rd_minus:   6192, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 118 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3162, rd_minus:   5984, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 119 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    396, rd_minus:    396, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 120 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1744, rd_minus:   1776, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 121 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  14240, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 122 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1836, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 123 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    806, rd_minus:    844, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 124 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1678, rd_minus:   1584, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 125 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    868, rd_minus:   1028, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 126 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1962, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 127 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    572, rd_minus:    352, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 128 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1960, rd_minus:   3420, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 129 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    394, rd_minus:    310, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 130 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     46, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 131 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9020, rd_minus:   7822, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    402, rd_minus:    292, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 133 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    372, rd_minus:    440, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 134 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4776, rd_minus:   4752, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 135 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5312, rd_minus:   4982, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 136 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5392, rd_minus:   5392, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 137 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    824, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 138 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1384, rd_minus:   2166, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 139 / 8216, payload_bits 8192, end_bits 24
