Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    922, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5892, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 797 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3540, rd_minus:   4708, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 798 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    116, rd_minus:    104, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 799 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4446, rd_minus:   3992, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 800 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1668, rd_minus:   1356, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 801 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2496, rd_minus:   1802, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 802 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    462, rd_minus:    422, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 803 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10372, rd_minus:   9412, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 804 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7212, rd_minus:   5032, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 805 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8268, rd_minus:   6996, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 806 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    458, rd_minus:    430, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 807 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1698, rd_minus:   1466, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 808 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9000, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 809 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7294, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 810 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2252, rd_minus:   3690, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 811 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4892, rd_minus:   4880, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 812 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4038, rd_minus:   4636, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 813 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3162, rd_minus:   3512, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 814 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6280, rd_minus:   5720, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 815 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7298, rd_minus:   5686, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 816 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4024, rd_minus:   4768, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 817 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  30292, rd_minus:  36276, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 818 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    370, rd_minus:    314, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 819 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2552, rd_minus:   2710, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 820 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2108, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 821 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2668, rd_minus:   2172, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 822 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2024, rd_minus:   2102, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 823 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5520, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 824 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2464, rd_minus:   3620, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 825 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    222, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 826 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1004, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 827 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2474, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 828 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4208, rd_minus:   4108, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 829 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   8324, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 830 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3148, rd_minus:   5288, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 831 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7412, rd_minus:   5978, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 832 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1632, rd_minus:   3028, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 833 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4612, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 834 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12796, rd_minus:  12816, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 835 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2886, rd_minus:   2756, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 836 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4590, rd_minus:   4848, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 837 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4882, rd_minus:   2346, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 838 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2030, rd_minus:   2034, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 839 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11996, rd_minus:   9482, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 840 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11328, rd_minus:   9216, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 841 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2564, rd_minus:   2972, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 842 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1860, rd_minus:   1558, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 843 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2484, rd_minus:   2468, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 844 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2266, rd_minus:   2528, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 845 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    342, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 846 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9828, rd_minus:   6608, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 847 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3454, rd_minus:   2984, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 848 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6826, rd_minus:   7732, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 849 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5602, rd_minus:   5772, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 850 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3812, rd_minus:   4276, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 851 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    192, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 852 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    100, rd_minus:    100, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 853 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3620, rd_minus:   4062, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 854 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    218, rd_minus:    272, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 855 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    548, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 856 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5004, rd_minus:   5486, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 857 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3422, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 858 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1640, rd_minus:   1800, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 859 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2322, rd_minus:   2356, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 860 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4510, rd_minus:   3850, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 861 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12442, rd_minus:   8172, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 862 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4412, rd_minus:   6372, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 863 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3156, rd_minus:   2924, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 864 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3562, rd_minus:   2852, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 865 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1204, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 866 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3528, rd_minus:   4076, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 867 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5670, rd_minus:   5346, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 868 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    588, rd_minus:    716, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 869 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2572, rd_minus:   2112, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 870 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3504, rd_minus:   2062, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 871 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3862, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 872 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3218, rd_minus:   3558, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 873 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1884, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 874 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4364, rd_minus:   4452, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 875 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2916, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 876 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    208, rd_minus:    204, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 877 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3456, rd_minus:   2412, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 878 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2388, rd_minus:   2396, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 879 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5328, rd_minus:   3624, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 880 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3716, rd_minus:   2918, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 881 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3380, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 882 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2700, rd_minus:   3046, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 883 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6830, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 884 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1776, rd_minus:   1566, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 885 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5056, rd_minus:   5428, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 886 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5516, rd_minus:   5186, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 887 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5420, rd_minus:   4856, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 888 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2690, rd_minus:   2718, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 889 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3012, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 890 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5488, rd_minus:   5956, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 891 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2252, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 892 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    786, rd_minus:    914, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 893 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    648, rd_minus:    910, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 894 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  17906, rd_minus:  16096, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 895 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5340, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 896 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6190, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 897 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    142, rd_minus:    130, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 898 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5424, rd_minus:   4854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 899 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2284, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 900 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1472, rd_minus:   1918, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 901 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  15952, rd_minus:  14288, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 902 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3956, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 903 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2456, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 904 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3216, rd_minus:   3518, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 905 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    808, rd_minus:    796, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 906 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5644, rd_minus:   6560, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 907 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5168, rd_minus:   5032, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 908 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1032, rd_minus:    724, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 909 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2848, rd_minus:   2944, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 910 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4188, rd_minus:   5544, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 911 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2672, rd_minus:   2532, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 912 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7394, rd_minus:   7504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 913 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1012, rd_minus:    806, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 914 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2852, rd_minus:   2502, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 915 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    790, rd_minus:    602, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 916 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2932, rd_minus:   2662, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 917 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2314, rd_minus:   1912, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 918 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8484, rd_minus:   9020, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 919 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2082, rd_minus:   2992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 920 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6590, rd_minus:   6624, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 921 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2528, rd_minus:   3136, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 922 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5000, rd_minus:   5768, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 923 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1582, rd_minus:   2332, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 924 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6242, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 925 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  13774, rd_minus:  11672, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 926 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1800, rd_minus:   1596, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 927 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4110, rd_minus:   3812, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 928 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2040, rd_minus:   2840, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 929 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4452, rd_minus:   4856, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 930 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3544, rd_minus:   3452, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 931 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7404, rd_minus:   7808, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 932 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6944, rd_minus:   7132, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 933 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7344, rd_minus:   7426, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 934 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  17590, rd_minus:  17616, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 935 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3768, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 936 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6782, rd_minus:   4178, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 937 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9248, rd_minus:   9192, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 938 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9732, rd_minus:   9068, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 939 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    652, rd_minus:    652, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 940 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4794, rd_minus:   5436, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 941 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  17796, rd_minus:  17796, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 942 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5800, rd_minus:   5640, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 943 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2396, rd_minus:   1900, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 944 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2756, rd_minus:   2728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 945 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2864, rd_minus:   2824, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 946 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3942, rd_minus:   3616, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 947 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2932, rd_minus:   4270, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 948 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8450, rd_minus:   8222, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 949 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3960, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 950 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5676, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 951 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    100, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 952 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    356, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 953 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2934, rd_minus:   3784, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 954 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8960, rd_minus:  12032, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 955 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2708, rd_minus:   2448, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 956 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4654, rd_minus:   6440, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 957 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  14476, rd_minus:  15844, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 958 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3370, rd_minus:   4684, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 959 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4194, rd_minus:   3992, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 960 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1852, rd_minus:   1492, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 961 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6616, rd_minus:   8264, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 962 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    250, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 963 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1700, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 964 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    254, rd_minus:    238, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 965 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9124, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 966 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6764, rd_minus:  12248, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 967 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5808, rd_minus:   5784, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 968 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4392, rd_minus:   3216, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 969 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    214, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 970 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    254, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 971 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6852, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 972 / 4120, payload_bits 4096, end_bits 24
